,price,price_per_m,postal_code,location,type,area,room
620,93 300,1 510 ,87000, Limoges (Centre-ville - Hôtel de Ville - Emailleurs),Appartement,62,3
621,699 000,7 061 ,06000, Nice (Cimiez),Appartement,99,4
622,75 000,3 972 ,34080, Montpellier (Celleneuve),Appartement,19,1
623,93 500,1 396 ,42300, Roanne (Centre-ville - Varenne),Appartement,67,4
624,185 000,5 286 ,69007, Lyon 7e (Guillotière),Appartement,35,1
625,120 000,1 333 ,43320, Saint-Jean-de-Nay,Maison,90,4
626,649 000,9 141 ,69008, Lyon 8e (Monplaisir),Maison,71,3
627,126 000,2 333 ,21000, Dijon (Centre-ville),Appartement,54,3
628,900 000,4 955 ,73100, Aix-les-Bains (Est),Maison,182,6
629,270 000,2 523 ,35580, Saint-Senoux,Maison,107,6
630,98 000,1 289 ,21300, Chenôve (Chenôve),Appartement,76,4
631,830 000,5 685 ,69600, Oullins (Golf - Célestins),Maison,146,5
632,350 000,3 153 ,06390, Châteauneuf-Villevieille,Maison,111,4
633,399 000,3 069 ,69390, Charly,Appartement,130,4
634,990 000,"11,6k ",75007, Paris 7e (Champ de Mars),Duplex,82,4
635,588 000,588 0,83600, Bagnols-en-Forêt,Maison,125,5
636,750 000,5 435 ,78500, Sartrouville (La Vaudoire Centre-ville),Maison,138,6
637,380 000,380 0,94210, Saint-Maur-des-Fossés (La Varenne),Appartement,47,2
638,159 500,3 544 ,78370, Plaisir,Appartement,45,2
639,60 500,1 320 ,42300, Roanne (Mulsant),Appartement,46,2
640,83 300,1 799 ,47000, Agen (Capelette - Agen Sud),Appartement,46,2
641,99 000,1 597 ,49300, Cholet (Gambetta),Appartement,62,4
642,449 900,4 361 ,74550, Perrignier,Maison,103,4
643,300 000,3 797 ,69100, Villeurbanne (Zola - Pressence),Appartement,79,4
644,159 900,3 402 ,34200, Sète (Centre-ville),Appartement,47,3
645,328 000,2 955 ,01800, Meximieux,Maison,111,4
646,490 000,4 712 ,69008, Lyon 8e (Grand Trou - Moulin à vent - Petite Guille),Appartement,104,4
647,157 500,3 938 ,78340, Les Clayes-sous-Bois (Centre-ville),Appartement,40,2
648,82 000,1 519 ,24000, Périgueux,Appartement,54,3
649,169 000,2 433 ,69250, Neuville-sur-Saône,Appartement,67,3
650,510 000,4 766 ,33600, Pessac (CCLAPS - La Châtaigneraie),Maison,107,5
